ix,time,ms,rss,heapTotal,heapUsed,heapUsedGrowth,external,externalGrowth,arrayBuffers,arrayBuffersGrowth
1,0,0,22560768,5566464,2948760,0,1006211,0,40504,0
2,10510.6647,10510.6647,30384128,9502720,5188328,2239568,1526848,520637,43062,2558
3,10512.6806,2.015900000000329,30392320,9502720,5199200,2250440,1526848,520637,43062,2558
4,10513.6332,0.9526000000005297,30392320,9502720,5203200,2254440,1526848,520637,43062,2558
5,10514.7571,1.1239000000005035,30392320,9502720,5208824,2260064,1526848,520637,43062,2558
6,10515.7741,1.0169999999998254,30392320,9502720,5213112,2264352,1526848,520637,43062,2558
7,10516.8856,1.1114999999990687,30392320,9502720,5217224,2268464,1526848,520637,43062,2558
8,21042.7416,10525.856000000002,28823552,7667712,5563880,2615120,1526848,520637,43062,2558
9,21043.8427,1.1010999999998603,28823552,7667712,5567648,2618888,1526848,520637,43062,2558
10,21044.3461,0.5033999999977823,28835840,7667712,5571368,2622608,1526848,520637,43062,2558
11,21044.8898,0.5437000000019907,28835840,7667712,5575064,2626304,1526848,520637,43062,2558
12,21045.3371,0.44729999999981374,28835840,7667712,5578648,2629888,1526848,520637,43062,2558
13,21045.7441,0.4069999999992433,28835840,7667712,5581976,2633216,1526848,520637,43062,2558
14,78508.7837,57463.039600000004,29630464,7405568,4382344,2633216,1599051,592840,124982,84478
15,78524.6617,15.877999999996973,29630464,7405568,4389296,2640168,1599051,592840,124982,84478
16,78525.6243,0.962599999998929,29630464,7405568,4392792,2643664,1599051,592840,124982,84478
17,78526.5142,0.8899000000092201,29630464,7405568,4396024,2646896,1599051,592840,124982,84478
18,78527.2821,0.7678999999916414,29630464,7405568,4399368,2650240,1599051,592840,124982,84478
19,78528.004,0.7219000000040978,29630464,7405568,4402744,2653616,1599051,592840,124982,84478
20,909300.2669,830772.2629000001,29900800,7667712,4821504,3072376,1672779,666568,198710,158206
21,909302.8798,2.61289999994915,29900800,7667712,4825024,3075896,1672779,666568,198710,158206
22,909306.5209,3.6411000000080094,29900800,7667712,4828512,3079384,1680971,674760,206902,166398
23,909307.7424,1.2214999999850988,29900800,7667712,4832256,3083128,1680971,674760,206902,166398
24,909308.5203,0.7778999999864027,29900800,7667712,4835592,3086464,1680971,674760,206902,166398
25,909309.0206,0.5003000000724569,29900800,7667712,4839072,3089944,1680971,674760,206902,166398
26,1440110.2721,530801.2514999999,30601216,7667712,5308536,3559408,1992267,986056,518198,477694
27,1440113.3675,3.0953999999910593,30601216,7667712,5312208,3563080,1992267,986056,518198,477694
28,1440114.4526,1.0851000000257045,30601216,7667712,5315496,3566368,1992267,986056,518198,477694
29,1440139.4416,24.989000000059605,30601216,7667712,5320368,3571240,1992267,986056,518198,477694
30,1440146.7609,7.319300000090152,30601216,7667712,5323624,3574496,1992267,986056,518198,477694
31,1440147.7481,0.9871999998576939,30601216,7667712,5326872,3577744,1992267,986056,518198,477694
